src/suncertify/business/BasicContractorService.java:39:	Found 'DD'-anomaly for variable 'recordNumber' (lines '39'-'43').
src/suncertify/ui/model/ContractorTableModel.java:30:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:35:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:40:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:45:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:51:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:56:	publicMethodCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:11:	headerCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:16:	fieldCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:18:	publicMethodCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:27:	protectedMethodCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:29:	protectedMethodCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:35:	protectedMethodCommentRequirement Required
src/suncertify/ui/view/AbstractConfigWindow.java:40:	protectedMethodCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:14:	headerCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:18:	fieldCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:19:	fieldCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:20:	fieldCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:21:	fieldCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:23:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:34:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:48:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ClientConfigWindow.java:61:	publicMethodCommentRequirement Required
src/suncertify/ui/view/LaunchManager.java:3:	headerCommentRequirement Required
src/suncertify/ui/view/LaunchManager.java:5:	publicMethodCommentRequirement Required
src/suncertify/ui/view/LaunchManager.java:7:	publicMethodCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:27:	headerCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:32:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:35:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:37:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:38:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:39:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:40:	fieldCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:42:	publicMethodCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:72:	publicMethodCommentRequirement Required
src/suncertify/ui/view/MainWindow.java:79:	Found 'DU'-anomaly for variable 'fieldValues' (lines '79'-'95').
src/suncertify/ui/view/MainWindow.java:87:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/suncertify/ui/view/MainWindow.java:88:	The String literal "System Error" appears 4 times in this file; the first occurrence is on line 88
src/suncertify/ui/view/MainWindow.java:99:	A method should have only one exit point, and that should be the last statement in the method
src/suncertify/ui/view/MainWindow.java:117:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/suncertify/ui/view/ServerConfigWindow.java:19:	headerCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:24:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:25:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:26:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:27:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:28:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:29:	fieldCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:31:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:42:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:65:	publicMethodCommentRequirement Required
src/suncertify/ui/view/ServerConfigWindow.java:77:	publicMethodCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:19:	headerCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:24:	fieldCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:25:	fieldCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:26:	fieldCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:27:	fieldCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:29:	publicMethodCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:40:	publicMethodCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:59:	publicMethodCommentRequirement Required
src/suncertify/ui/view/StandaloneConfigWindow.java:71:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:39:	fieldCommentRequirement Required
src/suncertify/util/Config.java:54:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:58:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:62:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:66:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:70:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:74:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:78:	Avoid printStackTrace(); use a logger call instead.
src/suncertify/util/Config.java:82:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:89:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:96:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:103:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:110:	publicMethodCommentRequirement Required
src/suncertify/util/Config.java:134:	Avoid printStackTrace(); use a logger call instead.
src/suncertify/util/ContractorBuilder.java:8:	headerCommentRequirement Required
src/suncertify/util/ContractorBuilder.java:14:	publicMethodCommentRequirement Required
src/suncertify/util/Utils.java:17:	fieldCommentRequirement Required
src/suncertify/util/Utils.java:42:	publicMethodCommentRequirement Required
src/suncertify/util/Utils.java:46:	publicMethodCommentRequirement Required
src/suncertify/util/Utils.java:50:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:28:	Each class should declare at least one constructor
test/test/business/BasicServiceTest.java:28:	headerCommentRequirement Required
test/test/business/BasicServiceTest.java:30:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:31:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:33:	Avoid excessively long variable names like firstContractorValues_Booked
test/test/business/BasicServiceTest.java:33:	The String literal "Dogs With Tools" appears 4 times in this file; the first occurrence is on line 33
test/test/business/BasicServiceTest.java:33:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:34:	The String literal "Smallville" appears 4 times in this file; the first occurrence is on line 34
test/test/business/BasicServiceTest.java:36:	Avoid excessively long variable names like firstContractorSearchCriteria
test/test/business/BasicServiceTest.java:36:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:39:	Avoid excessively long variable names like firstContractor_Booked
test/test/business/BasicServiceTest.java:39:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:42:	Avoid excessively long variable names like NO_SEARCH_CRITERIA
test/test/business/BasicServiceTest.java:42:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:43:	Avoid excessively long variable names like FIRST_CONTRACTOR_SEARCH_CRITERIA
test/test/business/BasicServiceTest.java:43:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:45:	Avoid excessively long variable names like NAME_SEARCH_CRITERIA
test/test/business/BasicServiceTest.java:45:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:46:	Avoid excessively long variable names like LOCATION_SEARCH_CRITERIA
test/test/business/BasicServiceTest.java:46:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:47:	Avoid excessively long variable names like NEW_CONTRACTOR_SEARCH_CRITERIA
test/test/business/BasicServiceTest.java:47:	fieldCommentRequirement Required
test/test/business/BasicServiceTest.java:51:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/business/BasicServiceTest.java:51:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:57:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/business/BasicServiceTest.java:57:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:63:	JUnit tests should not contain more than 1 assert(s).
test/test/business/BasicServiceTest.java:63:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:63:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:73:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:73:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:80:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:80:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:88:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:88:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:94:	JUnit tests should not contain more than 1 assert(s).
test/test/business/BasicServiceTest.java:94:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:94:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:105:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:105:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:112:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:112:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:118:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:118:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:124:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:124:	publicMethodCommentRequirement Required
test/test/business/BasicServiceTest.java:131:	Method names should not contain underscores
test/test/business/BasicServiceTest.java:131:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:1:	Too many static imports may lead to messy code
test/test/business/RMIServiceTest.java:33:	headerCommentRequirement Required
test/test/business/RMIServiceTest.java:35:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:36:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:37:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:39:	Avoid excessively long variable names like firstContractorValues_Booked
test/test/business/RMIServiceTest.java:39:	The String literal "Dogs With Tools" appears 4 times in this file; the first occurrence is on line 39
test/test/business/RMIServiceTest.java:39:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:40:	The String literal "Smallville" appears 4 times in this file; the first occurrence is on line 40
test/test/business/RMIServiceTest.java:42:	Avoid excessively long variable names like firstContractorSearchCriteria
test/test/business/RMIServiceTest.java:42:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:45:	Avoid excessively long variable names like firstContractor_Booked
test/test/business/RMIServiceTest.java:45:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:48:	Avoid excessively long variable names like NO_SEARCH_CRITERIA
test/test/business/RMIServiceTest.java:48:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:49:	Avoid excessively long variable names like FIRST_CONTRACTOR_SEARCH_CRITERIA
test/test/business/RMIServiceTest.java:49:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:51:	Avoid excessively long variable names like NAME_SEARCH_CRITERIA
test/test/business/RMIServiceTest.java:51:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:52:	Avoid excessively long variable names like LOCATION_SEARCH_CRITERIA
test/test/business/RMIServiceTest.java:52:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:53:	Avoid excessively long variable names like NEW_CONTRACTOR_SEARCH_CRITERIA
test/test/business/RMIServiceTest.java:53:	fieldCommentRequirement Required
test/test/business/RMIServiceTest.java:57:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/business/RMIServiceTest.java:57:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:66:	You may have misspelled a JUnit framework method (setUp or tearDown)
test/test/business/RMIServiceTest.java:66:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:72:	JUnit tests should not contain more than 1 assert(s).
test/test/business/RMIServiceTest.java:72:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:72:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:81:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:81:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:88:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:88:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:96:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:96:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:102:	JUnit tests should not contain more than 1 assert(s).
test/test/business/RMIServiceTest.java:102:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:102:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:113:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:113:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:120:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:120:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:126:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:126:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:132:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:132:	publicMethodCommentRequirement Required
test/test/business/RMIServiceTest.java:139:	Method names should not contain underscores
test/test/business/RMIServiceTest.java:139:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:22:	headerCommentRequirement Required
test/test/business/TestBusinessService.java:24:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:24:	headerCommentRequirement Required
test/test/business/TestBusinessService.java:25:	Avoid variables with short names like id
test/test/business/TestBusinessService.java:25:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:26:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:27:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:28:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:30:	Avoid variables with short names like id
test/test/business/TestBusinessService.java:30:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:38:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:39:	Found 'DU'-anomaly for variable 'recNo' (lines '39'-'70').
test/test/business/TestBusinessService.java:48:	New exception is thrown in catch block, original stack trace may be lost
test/test/business/TestBusinessService.java:51:	System.out.println is used
test/test/business/TestBusinessService.java:52:	Avoid using exceptions as flow control.
test/test/business/TestBusinessService.java:55:	Avoid empty catch blocks
test/test/business/TestBusinessService.java:55:	Avoid empty catch blocks
test/test/business/TestBusinessService.java:64:	System.out.println is used
test/test/business/TestBusinessService.java:68:	System.out.println is used
test/test/business/TestBusinessService.java:72:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
test/test/business/TestBusinessService.java:72:	Possible unsafe assignment to a non-final static field in a constructor.
test/test/business/TestBusinessService.java:72:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:74:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
test/test/business/TestBusinessService.java:74:	fieldCommentRequirement Required
test/test/business/TestBusinessService.java:76:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:82:	Avoid unused constructor parameters such as 'data'.
test/test/business/TestBusinessService.java:82:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:86:	Found 'UR'-anomaly for variable 'thread' (lines '86'-'97').
test/test/business/TestBusinessService.java:86:	publicMethodCommentRequirement Required
test/test/business/TestBusinessService.java:87:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:87:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:91:	Avoid instantiating new objects inside loops
test/test/business/TestBusinessService.java:91:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:96:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:100:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestBusinessService.java:103:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/business/TestBusinessService.java:104:	System.out.println is used
test/test/business/TestBusinessService.java:106:	System.out.println is used
test/test/business/TestRMIBusinessService.java:25:	headerCommentRequirement Required
test/test/business/TestRMIBusinessService.java:27:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:27:	headerCommentRequirement Required
test/test/business/TestRMIBusinessService.java:28:	Avoid variables with short names like id
test/test/business/TestRMIBusinessService.java:28:	fieldCommentRequirement Required
test/test/business/TestRMIBusinessService.java:29:	fieldCommentRequirement Required
test/test/business/TestRMIBusinessService.java:30:	fieldCommentRequirement Required
test/test/business/TestRMIBusinessService.java:31:	fieldCommentRequirement Required
test/test/business/TestRMIBusinessService.java:33:	Avoid variables with short names like id
test/test/business/TestRMIBusinessService.java:33:	publicMethodCommentRequirement Required
test/test/business/TestRMIBusinessService.java:41:	publicMethodCommentRequirement Required
test/test/business/TestRMIBusinessService.java:42:	Found 'DU'-anomaly for variable 'recNo' (lines '42'-'74').
test/test/business/TestRMIBusinessService.java:48:	Avoid instantiating new objects inside loops
test/test/business/TestRMIBusinessService.java:52:	New exception is thrown in catch block, original stack trace may be lost
test/test/business/TestRMIBusinessService.java:55:	System.out.println is used
test/test/business/TestRMIBusinessService.java:56:	Avoid using exceptions as flow control.
test/test/business/TestRMIBusinessService.java:59:	Avoid empty catch blocks
test/test/business/TestRMIBusinessService.java:59:	Avoid empty catch blocks
test/test/business/TestRMIBusinessService.java:68:	System.out.println is used
test/test/business/TestRMIBusinessService.java:72:	System.out.println is used
test/test/business/TestRMIBusinessService.java:77:	Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
test/test/business/TestRMIBusinessService.java:77:	Possible unsafe assignment to a non-final static field in a constructor.
test/test/business/TestRMIBusinessService.java:77:	fieldCommentRequirement Required
test/test/business/TestRMIBusinessService.java:79:	publicMethodCommentRequirement Required
test/test/business/TestRMIBusinessService.java:86:	Avoid unused constructor parameters such as 'data'.
test/test/business/TestRMIBusinessService.java:86:	publicMethodCommentRequirement Required
test/test/business/TestRMIBusinessService.java:90:	Found 'UR'-anomaly for variable 'thread' (lines '90'-'101').
test/test/business/TestRMIBusinessService.java:90:	publicMethodCommentRequirement Required
test/test/business/TestRMIBusinessService.java:91:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:91:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:95:	Avoid instantiating new objects inside loops
test/test/business/TestRMIBusinessService.java:95:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:100:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:104:	To be compliant to J2EE, a webapp should not use any thread.
test/test/business/TestRMIBusinessService.java:107:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/business/TestRMIBusinessService.java:108:	System.out.println is used
test/test/business/TestRMIBusinessService.java:110:	System.out.println is used
test/test/db/DBFactoryTest.java:12:	Each class should declare at least one constructor
test/test/db/DBFactoryTest.java:12:	headerCommentRequirement Required
test/test/db/DBFactoryTest.java:15:	Method names should not contain underscores
test/test/db/DBFactoryTest.java:15:	publicMethodCommentRequirement Required
test/test/db/DBFactoryTest.java:22:	Method names should not contain underscores
test/test/db/DBFactoryTest.java:22:	publicMethodCommentRequirement Required
test/test/db/DBFactoryTest.java:27:	Method names should not contain underscores
test/test/db/DBFactoryTest.java:27:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:15:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:17:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:17:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:17:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:20:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:30:	System.out.println is used
test/test/db/DataConcurrencyTest.java:32:	Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
test/test/db/DataConcurrencyTest.java:33:	System.out.println is used
test/test/db/DataConcurrencyTest.java:38:	Each class should declare at least one constructor
test/test/db/DataConcurrencyTest.java:38:	To be compliant to J2EE, a webapp should not use any thread.
test/test/db/DataConcurrencyTest.java:38:	headerCommentRequirement Required
test/test/db/DataConcurrencyTest.java:41:	publicMethodCommentRequirement Required
test/test/db/DataConcurrencyTest.java:43:	System.out.println is used
test/test/db/DataConcurrencyTest.java:44:	The String literal "DeletingRecord1Thread" appears 6 times in this file; the first occurrence is on line 44
test/test/db/DataConcurrencyTest.java:46:	System.out.println is used
test/test/db/DataConcurrencyTest.java:49:	System.out.println is used
